NUTS3;CODE
'DE134';'77797'
'DE94E';'49124'
'DE13A';'79730'
'DE132';'79859'
'DEA58';'58762'
'DE139';'79541'
'DEA33';'48167'
'DEA38';'48324'
'DE132';'79356'
'DEA54';'59075'
'DE948';'26169'
'DEB3D';'67806'
'DEB1B';'56410'
'DE132';'79292'
'DE131';'79114'
'DEA51';'44866'
'DEC06';'66640'
'DEA2B';'51429'
'DEB12';'56653'
'DEA55';'44625'
'DEA51';'44789'
'DE949';'26892'
'DEA36';'44579'
'DE214';'84547'
'DE215';'83454'
'DE235';'93473'
'DE21M';'83367'
'DE40H';'14913'
'DE215';'83486'
'DE229';'94250'
'DE71B';'64385'
'DEF05';'25761'
'DE136';'78176'
'DE135';'78658'
'DE13A';'79807'
'DE716';'64665'
'DE128';'68542'
'DE123';'76709'
'DE128';'69514'
'DE135';'78661'
'DE12B';'75331'
'DE712';'60431'
'DEF07';'25881'
'DE125';'69121'
'DE712';'60320'
'DE128';'69181'
'DE137';'78594'
'DE71E';'61184'
'DE712';'60386'
'DE936';'27729'
'DE123';'75038'
'DE713';'63065'
'DE716';'64405'
'DE501';'28201'
'DE736';'35110'
'DEF05';'25718'
'DE719';'63456'
'DE922';'27305'
'DE719';'63486'
'DE501';'28307'
'DE128';'74934'
'DE934';'29462'
'DEG01';'99098'
'DE245';'96167'
'DE259';'90475'
'DE24C';'96224'
'DE259';'90592'
'DEG0U';'98743'
'DE24A';'96355'
'DE21I';'86564'
'DE216';'82541'
'DE227';'84101'
'DEE0B';'06217'
'DE40F';'16949'
'DE24D';'95632'
'DEE02';'06108'
'DE227';'84095'
'DE237';'92708'
'DEE0D';'39539'
'DEG0L';'07973'
'DE21A';'84432'
'DE239';'92536'
'DED52';'04420'
'DE80K';'18292'
'DE238';'93087'
'DE238';'93101'
'DEA37';'48356'
'DEA52';'44137'
'DE949';'48480'
'DEF0C';'24405'
'DE929';'30457'
'DE145';'89143'
'DE27A';'88138'
'DEF0B';'24589'
'DE11A';'74549'
'DE929';'30627'
'DE933';'21224'
'DE733';'36289'
'DE11D';'73575'
'DE737';'37269'
'DE600';'20253'
'DE11B';'97993'
'DEF0D';'22850'
'DE931';'29225'
'DE148';'88319'
'DE145';'89186'
'DEF0A';'24620'
'DE916';'38723'
'DE737';'37299'
'DE274';'87700'
'DEF02';'24114'
'DE27C';'87737'
'DE11D';'73466'
'DE27C';'87787'
'DE931';'29362'
'DEF0D';'23827'
'DE93A';'29574'
'DE25A';'91471'
'DE132';'79219'
'DE946';'26689'
'DEB1B';'56335'
'DE139';'79618'
'DE131';'79111'
'DE269';'63937'
'DE115';'74366'
'DE928';'31688'
'DE923';'31840'
'DE113';'70794'
'DE118';'74177'
'DEF05';'25767'
'DE269';'63840'
'DE927';'31626'
'DE734';'34396'
'DE719';'63633'
'DE923';'31860'
'DEF0E';'25596'
'DE115';'71672'
'DE118';'74255'
'DEA56';'45529'
'DEA51';'44791'
'DE947';'26624'
'DEB13';'57539'
'DE94E';'49599'
'DEA37';'49545'
'DEB1B';'57644'
'DEB14';'67824'
'DE949';'48499'
'DE94C';'26810'
'DEA35';'48329'
'DEB3F';'66894'
'DED51';'04109'
'DE22B';'94348'
'DE22C';'84163'
'DE22B';'94344'
'DED45';'08371'
'DED52';'04567'
'DE235';'93464'
'DE21M';'83313'
'DE22A';'84333'
'DEE0E';'06925'
'DE215';'83471'
'DE40A';'16775'
'DE224';'94557'
'DED53';'04758'
'DEA5B';'59555'
'DE722';'35688'
'DEB3I';'67373'
'DE715';'68623'
'DE300';'10435'
'DE80L';'18551'
'DE722';'35614'
'DE126';'68307'
'DE94G';'26919'
'DE126';'68169'
'DE71A';'65835'
'DE71E';'35510'
'DEA46';'32339'
'DE135';'72172'
'DE715';'64673'
'DE136';'78136'
'DEB3C';'67169'
'DEA5B';'59609'
'DE94G';'26969'
'DE714';'65183'
'DE714';'65185'
'DE124';'76448'
'DEB3J';'67587'
'DE134';'77972'
'DEB14';'55593'
'DEA38';'59227'
'DE134';'77876'
'DEB3C';'67146'
'DEB3B';'67582'
'DEB3E';'76774'
'DE13A';'79801'
'DE135';'78713'
'DE123';'68794'
'DE722';'35578'
'DE136';'78199'
'DE922';'49448'
'DEA1F';'46509'
'DEB23';'54612'
'DEA15';'41066'
'DEA43';'32278'
'DE128';'69221'
'DE129';'75180'
'DE501';'28197'
